,email,feedback
0,julia@gmail.com,I really enjoyed using the calculator feature. Hope you will be making a mortgage calculator soon. Thx!
,email,feedback
0,oliviachan@gmail.com,This looks good
,email,feedback
0,olivia@saturdays.com,Testing this weekend. Nothing breaks yet 
,email,feedback
0,olivia@gmail.com,Thanks for making the app!
,email,feedback
0,olivia@gmail.com,I really enjoyed using the calculators! 
,email,feedback
0,olivia@gmail.com,Enjoyed using the calculators. Would love to see more
,email,feedback
0,olivia@gmail.com,Really enjoyed using the cash flow calculators! Excited to see more features
,email,feedback
0,olivia@gmail.com,Really enjoyed using the cash flow calculators! Excited to see more features
,email,feedback
0,oliviatran@gmail.com,Really enjoyed using the calculators. 
,email,feedback
0,olivia@gmail.com,Really enjoyed using the calculators . Good luck!
,email,feedback
0,emma@gmail.com,this looks good
,email,feedback
0,olivia@gmail.com,Hey this looks good
,email,feedback
0,olivia@gmail.com,hey this looks good
,email,feedback
0,emma@gmail.com,"Really enjoyed using the cash flow calculators! Excited to see more features
"
,email,feedback
0,olivia@gmail.com,"Really enjoyed using the cash flow calculators! Excited to see more features
"
,email,feedback
0,olivia@gmail.com,"Really enjoyed using the cash flow calculators! Excited to see more features
"
,email,feedback
0,olivia@gmail.com,"Really enjoyed using the cash flow calculators! Excited to see more features
"
,email,feedback
0,olivia@gmail.com,"Really enjoyed using the cash flow calculators! Excited to see more features
"
,email,feedback
0,olivia@gmail.com,Really enjoyed the calculators. Look forward to seeing more
,email,feedback
0,olivia@gmail.com,thanks
